,Sr No.,Reference No (URN),Journal Date,"Date of
Purchase",Date of Expiry,Name of the Purchaser,Prefix,"Bond
Number",Denominations,Issue Branch Code,Issue Teller,Status
25,15412,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,OC,16369,10000000,1,5898161,Paid
26,15413,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15613,1000000,1,5898161,Paid
27,15414,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15617,1000000,1,5898161,Paid
28,15415,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15589,1000000,1,5898161,Paid
29,15416,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15615,1000000,1,5898161,Paid
30,15417,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15621,1000000,1,5898161,Paid
31,15418,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15633,1000000,1,5898161,Paid
32,15419,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15603,1000000,1,5898161,Paid
33,15420,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15583,1000000,1,5898161,Paid
34,15421,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15623,1000000,1,5898161,Paid
35,15422,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15631,1000000,1,5898161,Paid
36,15423,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15625,1000000,1,5898161,Paid
37,15424,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15585,1000000,1,5898161,Paid
38,15425,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15591,1000000,1,5898161,Paid
39,15426,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15607,1000000,1,5898161,Paid
40,15427,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15629,1000000,1,5898161,Paid
41,15428,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15627,1000000,1,5898161,Paid
42,15429,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15605,1000000,1,5898161,Paid
43,15430,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15609,1000000,1,5898161,Paid
44,15431,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15619,1000000,1,5898161,Paid
45,15432,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15601,1000000,1,5898161,Paid
46,15433,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15581,1000000,1,5898161,Paid
47,15434,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15611,1000000,1,5898161,Paid
48,15435,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15599,1000000,1,5898161,Paid
0,15436,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15597,1000000,1,5898161,Paid
1,15437,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15595,1000000,1,5898161,Paid
2,15438,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15593,1000000,1,5898161,Paid
3,15439,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15579,1000000,1,5898161,Paid
4,15440,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15587,1000000,1,5898161,Paid
5,15441,6.9120231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,MR. SAMEER BHATIA,OT,15006,1000,691,8212066,Expired
6,15442,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,NATCO PHARMA LTD,OC,15923,10000000,847,6458726,Paid
7,15443,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,NATCO PHARMA LTD,OC,15911,10000000,847,6458726,Paid
8,15444,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,NATCO PHARMA LTD,OC,15915,10000000,847,6458726,Paid
9,15445,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,NATCO PHARMA LTD,OC,15921,10000000,847,6458726,Paid
10,15446,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,NATCO PHARMA LTD,OC,15913,10000000,847,6458726,Paid
11,15447,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,NATCO PHARMA LTD,OC,15917,10000000,847,6458726,Paid
12,15448,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,NATCO PHARMA LTD,OC,15909,10000000,847,6458726,Paid
13,15449,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,NATCO PHARMA LTD,OC,15919,10000000,847,6458726,Paid
14,15450,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,NATCO PHARMA LTD,OC,15925,10000000,847,6458726,Paid
15,15451,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,NATCO PHARMA LTD,OC,15907,10000000,847,6458726,Paid
16,15452,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,RAUNAK PROPERTIES PVT. LTD,TL,15602,1000000,1,5898161,Paid
17,15453,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,RAUNAK PROPERTIES PVT. LTD,TL,15604,1000000,1,5898161,Paid
18,15454,1.2023100700000033e+18,07/Oct/2023,07/Oct/2023,21/Oct/2023,RAUNAK PROPERTIES PVT. LTD,TL,15606,1000000,1,5898161,Paid
19,15455,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15908,10000000,847,6458726,Paid
20,15456,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15926,10000000,847,6458726,Paid
21,15457,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15912,10000000,847,6458726,Paid
22,15458,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15839,10000000,847,6458726,Paid
23,15459,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15837,10000000,847,6458726,Paid
24,15460,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15829,10000000,847,6458726,Paid
25,15461,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15910,10000000,847,6458726,Paid
26,15462,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15918,10000000,847,6458726,Paid
27,15463,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15898,10000000,847,6458726,Paid
28,15464,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15880,10000000,847,6458726,Paid
29,15465,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15833,10000000,847,6458726,Paid
30,15466,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15831,10000000,847,6458726,Paid
31,15467,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15841,10000000,847,6458726,Paid
32,15468,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15835,10000000,847,6458726,Paid
33,15469,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15916,10000000,847,6458726,Paid
34,15470,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15872,10000000,847,6458726,Paid
35,15471,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15892,10000000,847,6458726,Paid
36,15472,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15886,10000000,847,6458726,Paid
37,15473,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15894,10000000,847,6458726,Paid
38,15474,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15890,10000000,847,6458726,Paid
39,15475,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15904,10000000,847,6458726,Paid
40,15476,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15827,10000000,847,6458726,Paid
41,15477,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15896,10000000,847,6458726,Paid
42,15478,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15920,10000000,847,6458726,Paid
43,15479,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15874,10000000,847,6458726,Paid
44,15480,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15924,10000000,847,6458726,Paid
45,15481,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15914,10000000,847,6458726,Paid
46,15482,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15878,10000000,847,6458726,Paid
47,15483,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15845,10000000,847,6458726,Paid
48,15484,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15902,10000000,847,6458726,Paid
0,15485,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15876,10000000,847,6458726,Paid
1,15486,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15900,10000000,847,6458726,Paid
2,15487,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15849,10000000,847,6458726,Paid
3,15488,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15922,10000000,847,6458726,Paid
4,15489,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15884,10000000,847,6458726,Paid
5,15490,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15843,10000000,847,6458726,Paid
6,15491,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15888,10000000,847,6458726,Paid
7,15492,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15906,10000000,847,6458726,Paid
8,15493,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15847,10000000,847,6458726,Paid
9,15494,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15882,10000000,847,6458726,Paid
10,15495,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15929,10000000,847,6458726,Paid
11,15496,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15941,10000000,847,6458726,Paid
12,15497,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15927,10000000,847,6458726,Paid
13,15498,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15943,10000000,847,6458726,Paid
14,15499,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15931,10000000,847,6458726,Paid
15,15500,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15935,10000000,847,6458726,Paid
16,15501,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15939,10000000,847,6458726,Paid
17,15502,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15945,10000000,847,6458726,Paid
18,15503,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15937,10000000,847,6458726,Paid
19,15504,8.4720231007e+20,07/Oct/2023,07/Oct/2023,21/Oct/2023,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,OC,15933,10000000,847,6458726,Paid
20,15505,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,ABHINANDANSTOCKBROKINGPVTLTD,OC,15605,10000000,1,5898161,Paid
21,15506,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,ABHINANDANSTOCKBROKINGPVTLTD,TL,15337,1000000,1,5898161,Paid
22,15507,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,ABHINANDANSTOCKBROKINGPVTLTD,TL,15339,1000000,1,5898161,Paid
23,15508,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,ABHINANDANSTOCKBROKINGPVTLTD,TL,15333,1000000,1,5898161,Paid
24,15509,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,ABHINANDANSTOCKBROKINGPVTLTD,TL,15335,1000000,1,5898161,Paid
25,15510,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,ABHINANDANSTOCKBROKINGPVTLTD,TL,15331,1000000,1,5898161,Paid
26,15511,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,B.DAS AND ASSOCIATES PVT. LTD.,OC,16370,10000000,1,5898161,Paid
27,15512,8.4720231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,BAIN GLOBAL RESOURCES LLP,OC,15940,10000000,847,6458726,Paid
28,15513,8.4720231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,BAIN GLOBAL RESOURCES LLP,OC,15938,10000000,847,6458726,Paid
29,15514,8.4720231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,BAIN GLOBAL RESOURCES LLP,OC,15942,10000000,847,6458726,Paid
30,15515,8.4720231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,BAIN GLOBAL RESOURCES LLP,OC,15946,10000000,847,6458726,Paid
31,15516,8.4720231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,BAIN GLOBAL RESOURCES LLP,OC,15944,10000000,847,6458726,Paid
32,15517,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15310,1000000,1,5898161,Paid
33,15518,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15322,1000000,1,5898161,Paid
34,15519,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15324,1000000,1,5898161,Paid
35,15520,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15306,1000000,1,5898161,Paid
36,15521,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15304,1000000,1,5898161,Paid
37,15522,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15308,1000000,1,5898161,Paid
38,15523,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15336,1000000,1,5898161,Paid
39,15524,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15328,1000000,1,5898161,Paid
40,15525,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15302,1000000,1,5898161,Paid
41,15526,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15338,1000000,1,5898161,Paid
42,15527,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15334,1000000,1,5898161,Paid
43,15528,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15332,1000000,1,5898161,Paid
44,15529,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15340,1000000,1,5898161,Paid
45,15530,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15320,1000000,1,5898161,Paid
46,15531,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15314,1000000,1,5898161,Paid
47,15532,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15318,1000000,1,5898161,Paid
48,15533,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15326,1000000,1,5898161,Paid
0,15534,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15330,1000000,1,5898161,Paid
1,15535,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15316,1000000,1,5898161,Paid
2,15536,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,CASTLE LIQUORS PRIVATE LIMITED,TL,15312,1000000,1,5898161,Paid
3,15537,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,GALAXY C.S. BOTTLING PLANT,TL,15630,1000000,1,5898161,Paid
4,15538,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,GALAXY C.S. BOTTLING PLANT,TL,15632,1000000,1,5898161,Paid
5,15539,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,GALAXY C.S. BOTTLING PLANT,TL,15628,1000000,1,5898161,Paid
6,15540,8.4720231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,INDURU SUDHAKARA REDDY,OC,15950,10000000,847,6458726,Paid
7,15541,8.4720231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,INDURU SUDHAKARA REDDY,OC,15956,10000000,847,6458726,Paid
8,15542,8.4720231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,INDURU SUDHAKARA REDDY,OC,15952,10000000,847,6458726,Paid
9,15543,8.4720231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,INDURU SUDHAKARA REDDY,OC,15954,10000000,847,6458726,Paid
10,15544,8.4720231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,INDURU SUDHAKARA REDDY,OC,15948,10000000,847,6458726,Paid
11,15545,8.4720231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,J B ENTERPRISE,OC,15947,10000000,847,6458726,Paid
12,15546,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,KAMNA CREDITS AND PROMOTORS PVT LTD,OC,15604,10000000,1,5898161,Paid
13,15547,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,KAMNA CREDITS AND PROMOTORS PVT LTD,OC,15602,10000000,1,5898161,Paid
14,15548,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,LAXMI INDUSTRIAL BOTTLING PLANT,TL,15614,1000000,1,5898161,Paid
15,15549,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,LAXMI INDUSTRIAL BOTTLING PLANT,TL,15620,1000000,1,5898161,Paid
16,15550,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,LAXMI INDUSTRIAL BOTTLING PLANT,TL,15626,1000000,1,5898161,Paid
17,15551,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,LAXMI INDUSTRIAL BOTTLING PLANT,TL,15624,1000000,1,5898161,Paid
18,15552,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,LAXMI INDUSTRIAL BOTTLING PLANT,TL,15618,1000000,1,5898161,Paid
19,15553,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,LAXMI INDUSTRIAL BOTTLING PLANT,TL,15616,1000000,1,5898161,Paid
20,15554,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,LAXMI INDUSTRIAL BOTTLING PLANT,TL,15622,1000000,1,5898161,Paid
21,15555,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,LAXMI INDUSTRIAL BOTTLING PLANT,OL,29697,100000,1,5898161,Paid
22,15556,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,LAXMI INDUSTRIAL BOTTLING PLANT,OL,29695,100000,1,5898161,Paid
23,15557,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,LAXMI INDUSTRIAL BOTTLING PLANT,OL,29701,100000,1,5898161,Paid
24,15558,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,LAXMI INDUSTRIAL BOTTLING PLANT,OL,29699,100000,1,5898161,Paid
25,15559,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,LAXMI INDUSTRIAL BOTTLING PLANT,OL,29693,100000,1,5898161,Paid
26,15560,8.1320231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,MICRO LABS LIMITED,OC,5918,10000000,813,6188222,Paid
27,15561,8.1320231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,MICRO LABS LIMITED,OC,5906,10000000,813,6188222,Paid
28,15562,8.1320231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,MICRO LABS LIMITED,OC,5912,10000000,813,6188222,Paid
29,15563,8.1320231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,MICRO LABS LIMITED,OC,5916,10000000,813,6188222,Paid
30,15564,8.1320231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,MICRO LABS LIMITED,OC,5909,10000000,813,6188222,Paid
31,15565,8.1320231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,MICRO LABS LIMITED,OC,5904,10000000,813,6188222,Paid
32,15566,8.1320231009e+20,09/Oct/2023,09/Oct/2023,23/Oct/2023,MICRO LABS LIMITED,OC,5914,10000000,813,6188222,Paid
33,15567,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,MKJ ENTERPRISES LIMITED,OC,15601,10000000,1,5898161,Paid
34,15568,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,MKJ ENTERPRISES LIMITED,OC,16375,10000000,1,5898161,Paid
35,15569,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,MKJ ENTERPRISES LIMITED,OC,15603,10000000,1,5898161,Paid
36,15570,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15642,1000000,1,5898161,Paid
37,15571,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15307,1000000,1,5898161,Paid
38,15572,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15305,1000000,1,5898161,Paid
39,15573,1.2023100900000033e+18,09/Oct/2023,09/Oct/2023,23/Oct/2023,MKJ ENTERPRISES LIMITED,TL,15638,1000000,1,5898161,Paid
